MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1988,Jan,8,,3.6848,2.0443,26.27,80.58,,
,,15,,3.708,2.0313,26.09,80.06,,
,,22,,3.6228,2.0205,25.92,79.39,,
,,29,,3.5944,2.0182,25.88,78.99,,
,Feb,5,,3.5623,2.016,25.84,78.64,,
,,12,,3.5439,2.0173,25.87,78.23,,
,,19,,3.5182,2.0189,25.9,77.95,,
,,26,,3.5656,2.013,25.81,77.86,,
,Mar,4,,3.5659,2.0154,25.83,78.21,,
,,11,,3.7185,2.0131,25.8,79.12,,
,,18,,3.7077,2.0184,25.86,78.29,,
,,25,,3.7032,2.0132,25.78,78.47,,
,,31,,3.7634,2.0045,25.66,78.18,,
,Apr,8,,3.7556,2.003,25.64,77.82,,
,,15,,3.7569,2.0019,25.64,77.98,,
,,22,,3.7929,2.0037,25.64,77.96,,
,,29,,3.7534,2.0016,25.6,77.75,,
,May,6,,3.7309,2.0039,25.66,77.53,,
,,13,,3.7767,2.0052,25.66,77.75,,
,,20,,3.7518,2.0128,25.74,77.89,,
,,27,,3.7543,2.0168,25.81,78.03,,
,Jun,3,,3.6511,2.0217,25.87,78.13,,
,,10,,3.6762,2.018,25.85,78.48,,
,,17,,3.6148,2.0246,25.95,78.55,,
,,24,,3.5676,2.0346,26.08,78.6,,
,Jul,1,,3.4769,2.0483,26.24,78.27,,
,,8,,3.4943,2.0443,26.16,78.1,,
,,15,,3.4493,2.0503,26.23,78.09,,
,,22,,3.5172,2.0384,26.1,77.7,,
,,29,,3.5132,2.0378,26.09,77.35,,
,Aug,5,,3.492,2.0472,26.22,77.54,,
,,12,,3.4909,2.0397,26.14,77.06,,
,,19,,3.4655,2.0374,26.1,76.97,,
,,26,,3.4558,2.0329,26.05,76.55,,
,Sep,2,,3.4133,2.0429,26.17,76.54,,
,,9,,3.4681,2.0375,26.09,77.03,,
,,16,,3.4367,2.0433,26.16,76.81,,
,,23,,3.4036,2.0406,26.12,76.51,,
,,30,,3.436,2.0408,26.13,76.19,,
,Oct,7,,3.4514,2.0389,26.08,75.89,,
,,14,,3.5334,2.024,25.9,75.61,,
,,21,,3.5404,2.0056,25.67,75.11,,
,,28,,3.5313,1.9998,25.6,74.84,,
,Nov,4,,3.5229,1.9838,25.4,73.88,,
,,11,,3.5366,1.9693,25.21,73.48,,
,,18,,3.5491,1.9487,24.96,72.28,,
,,25,,3.5709,1.9402,24.84,73.13,,
,Dec,2,,3.6028,1.9491,24.97,72.83,,
,,9,,3.5971,1.9418,24.89,72.36,,
,,16,,3.5364,1.9458,24.92,72.19,,
,,23,,3.4968,1.9435,24.89,71.84,,
,,30,,3.4929,1.9462,24.92,71.75,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1989,Jan,6,,3.4815,1.9409,24.85,71.54,,
,,13,,3.4207,1.941,24.87,71.38,,
,,20,,3.4303,1.9418,24.89,71.28,,
,,27,,3.4147,1.9342,24.79,70.95,,
,Feb,3,,3.3729,1.929,24.73,70.75,,
,,10,,3.3972,1.9277,24.72,70.61,,
,,17,,3.4096,1.9228,24.65,70.52,,
,,24,,3.3847,1.9257,24.69,70.55,,
,Mar,3,,3.3194,1.9331,24.78,70.42,,
,,10,,3.3455,1.94,24.87,70.44,,
,,17,,3.3281,1.938,24.85,70.39,,
,,23,,3.3515,1.9407,24.91,70.59,,
,,31,,3.306,1.9589,25.16,71.24,,
,Apr,7,,3.3182,1.9479,25.03,70.88,,
,,14,,3.3137,1.9516,25.08,71.51,,
,,21,,3.3276,1.9411,24.95,71.91,,
,,28,,3.2988,1.9485,25.05,72.26,,
,May,5,,3.2809,1.9513,25.08,72.32,,
,,12,,3.2518,1.9548,25.14,72.63,,
,,18,,3.181,1.9663,25.28,73.18,,
,,26,,3.114,1.9512,25.07,72.52,,
,Jun,2,,3.0975,1.9512,25.1,72.02,,
,,9,,3.0747,1.9516,25.04,72.2,,
,,16,,3.0352,1.9608,25.18,72.33,,
,,23,,3.0348,1.9527,25.05,72.25,,
,,30,,3.0424,1.966,25.22,72.74,,
,Jul,7,,3.1823,1.9608,25.14,72.99,,
,,14,,3.1709,1.9568,25.07,72.86,,
,,21,,3.1766,1.9593,25.09,73.12,,
,,28,,3.239,1.9569,25.07,73.47,,
,Aug,4,,3.1953,1.9498,24.97,73.13,,
,,11,,3.158,1.9515,25,73.06,,
,,18,,3.063,1.9616,25.13,73.02,,
,,25,,3.0833,1.9683,25.21,73.03,,
,Sep,1,,3.0829,1.9687,25.21,73.09,,
,,8,,3.0745,1.9787,25.34,73.3,,
,,15,,3.0805,1.9804,25.36,73.26,,
,,22,,3.1332,1.9802,25.37,73.45,,
,,29,,3.1722,1.9603,25.12,72.89,,
,Oct,6,,3.1689,1.9664,25.19,72.94,,
,,13,,3.0672,1.9693,25.22,72.98,,
,,20,,3.12,1.9567,25.05,72.64,,
,,27,,3.0856,1.961,25.11,72.75,,
,Nov,3,,3.0824,1.958,25.06,72.59,,
,,10,,3.1045,1.9587,25.07,72.58,,
,,17,,3.0938,1.9601,25.08,72.44,,
,,24,,3.0649,1.9582,25.07,72.3,,
,Dec,1,,3.055,1.9468,24.91,71.99,,
,,8,,3.0427,1.9318,24.72,71.39,,
,,15,,3.072,1.917,24.55,70.96,,
,,22,,3.0679,1.9026,24.36,70.43,,
,,29,,3.0467,1.8944,24.26,70.14,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
1990,Jan,5,,3.1065,1.8983,24.29,70.21,,
,,12,,3.1396,1.895,24.27,70.21,,
,,19,,3.1035,1.8861,24.15,69.66,,
,,26,,3.1087,1.8773,24.03,69.45,,
,Feb,2,,3.1477,1.8675,23.91,69.21,,
,,9,,3.1432,1.861,23.82,68.8,,
,,16,,3.1511,1.8663,23.9,69.09,,
,,23,,3.1834,1.8638,23.87,68.94,,
,Mar,2,,3.1289,1.8764,24.03,69.31,,
,,9,,3.0738,1.8737,23.98,69.24,,
,,16,,3.0349,1.8731,23.98,68.98,,
,,23,,3.0087,1.8834,24.1,69,,
,,30,,3.101,1.8843,24.12,69.07,,
,Apr,6,,3.0832,1.8749,24.03,68.71,,
,,12,,3.0832,1.878,24.08,68.81,,
,,20,,3.0834,1.8767,24.08,68.95,,
,,27,,3.0675,1.8763,24.09,69.03,,
,May,4,,3.083,1.8765,24.08,69.18,,
,,11,,3.1132,1.8581,23.85,69,,
,,18,,3.1406,1.8545,23.82,68.64,,
,,25,,3.1183,1.8477,23.74,68.48,,
,Jun,1,,3.1121,1.8525,23.8,68.5,,
