MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2014 to May 2014


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2014,Jan,02,1.7399,2.0966,1.2639,16.30,38.56,2.8514,3.8393
,,03,1.7310,2.0828,1.2673,16.34,38.48,2.8389,3.8403
,,06,1.7239,2.0767,1.2689,16.36,38.59,2.8365,3.8330
,,07,1.7297,2.0817,1.2695,16.37,38.63,2.8381,3.8319
,,08,1.7316,2.0842,1.2711,16.39,38.71,2.8393,3.8425
,,09,1.7274,2.0932,1.2722,16.41,38.80,2.8434,3.8540
,,10,1.7295,2.0937,1.2706,16.39,38.89,2.8457,3.8491
,,13,1.7291,2.0854,1.2639,16.30,38.78,2.8345,3.8265
,,14,1.7314,2.0762,1.2672,16.34,38.85,2.8339,3.8581
,,15,1.7327,2.0868,1.2708,16.39,38.73,2.8253,3.8744
,,16,1.7348,2.0855,1.2738,16.43,38.65,2.8269,3.8717
,,17,1.7329,2.0801,1.2728,16.41,38.60,2.8234,3.8864
,,20,1.7274,2.0959,1.2768,16.46,38.53,2.8298,3.8826
,,21,1.7289,2.0967,1.2763,16.45,38.48,2.8255,3.8876
,,22,1.7342,2.1065,1.2780,16.48,38.42,2.8234,3.8857
,,23,1.7363,2.1233,1.2815,16.52,38.47,2.8295,3.8880
,,24,1.7488,2.1254,1.2780,16.46,38.36,2.8195,3.8869
,,27,1.7479,2.1081,1.2775,16.46,38.20,2.8111,3.8806
,,28,1.7426,2.1165,1.2743,16.41,38.15,2.8121,3.8733
,,29,1.7380,2.1098,1.2729,16.40,38.33,2.8194,3.8714
,,30,1.7419,2.1126,1.2759,16.43,38.13,2.8138,3.8675
,Feb,03,1.7234,2.0995,1.2779,16.46,38.19,2.8158,3.8842
,,04,1.7175,2.0724,1.2711,16.37,38.06,2.7978,3.8635
,,05,1.7159,2.0735,1.2699,16.36,38.19,2.7996,3.8734
,,06,1.7162,2.0692,1.2689,16.35,38.24,2.8023,3.8698
,,07,1.7239,2.0704,1.2684,16.35,38.18,2.8124,3.8647
,,10,1.7280,2.0814,1.2682,16.35,38.08,2.8217,3.8676
,,11,1.7345,2.0839,1.2691,16.36,37.98,2.8215,3.8710
,,12,1.7242,2.0808,1.2650,16.31,38.06,2.8133,3.8709
,,13,1.7257,2.1065,1.2673,16.34,38.13,2.8206,3.8916
,,14,1.7311,2.1069,1.2653,16.31,38.13,2.8224,3.8884
,,17,1.7272,2.1152,1.2595,16.24,38.23,2.8278,3.8928
,,18,1.7304,2.1112,1.2617,16.27,38.26,2.8308,3.8929
,,19,1.7376,2.1062,1.2627,16.28,38.24,2.8280,3.8781
,,20,1.7394,2.1089,1.2648,16.31,38.29,2.8275,3.8786
,,21,1.7360,2.1071,1.2656,16.32,38.33,2.8348,3.8906
,,24,1.7409,2.1087,1.2673,16.34,38.41,2.8396,3.8874
,,25,1.7338,2.1031,1.2623,16.27,38.54,2.8322,3.8846
,,26,1.7373,2.1088,1.2645,16.30,38.57,2.8354,3.8824
,,27,1.7337,2.1116,1.2665,16.32,38.65,2.8357,3.8862
,,28,1.7366,2.1142,1.2672,16.33,38.65,2.8343,3.8818
,Mar,03,1.7459,2.1219,1.2672,16.33,38.64,2.8336,3.8907
,,04,1.7439,2.1157,1.2703,16.37,38.68,2.8320,3.9020
,,05,1.7447,2.1178,1.2706,16.37,38.83,2.8361,3.9240
,,06,1.7400,2.1185,1.2677,16.33,38.83,2.8354,3.9205
,,07,1.7507,2.1146,1.2635,16.28,38.79,2.8396,3.9148
,,10,1.7612,2.1228,1.2685,16.34,38.61,2.8520,3.9139
,,11,1.7558,2.1072,1.2661,16.31,38.62,2.8468,3.9186
,,12,1.7577,2.1091,1.2688,16.35,38.62,2.8436,3.9179
,,13,1.7608,2.1064,1.2666,16.31,38.60,2.8428,3.9117
,,14,1.7555,2.1053,1.2665,16.31,38.60,2.8341,3.9186
,,17,1.7599,2.1052,1.2655,16.30,38.59,2.8295,3.9234
,,18,1.7616,2.1036,1.2644,16.28,38.69,2.8328,3.9298
,,19,1.7613,2.0993,1.2651,16.29,38.58,2.8201,3.9374
,,20,1.7607,2.1055,1.2730,16.40,38.65,2.8254,3.9363
,,21,1.7600,2.1085,1.2770,16.45,38.59,2.8240,3.9401
,,24,1.7549,2.0965,1.2716,16.39,38.49,2.8139,3.9199
,,25,1.7536,2.0913,1.2677,16.34,38.44,2.8130,3.9006
